,id,name_trans,about_trans
14,C_629514,giới thiệu về zi zhi tong jian,"thông qua sự hướng dẫn của giáo viên, học sinh có thể đi sâu vào nội dung của văn bản kinh điển này, có được cái nhìn tổng quan về hàng nghìn năm lịch sử, nâng cao trình độ đọc hiểu hán học và trân trọng sự khôn ngoan của cuộc sống."
15,C_629515,luận ngữ bài học cuộc sống của khổng tử,"""luận ngữ của khổng tử"" là một tuyển tập văn xuôi theo phong cách trích dẫn thời xuân thu của trung quốc, chủ yếu ghi lại lời nói và việc làm của khổng tử và các đệ tử của ông, do các đệ tử của khổng tử và các đệ tử của ông biên soạn. nó phản ánh suy nghĩ của khổng tử một cách tương đối tập trung."
16,C_629520,sinh lý bệnh,"sinh lý bệnh là một ngành khoa học lấy sinh vật bị bệnh làm đối tượng, tập trung vào những thay đổi về chức năng và trao đổi chất, đồng thời nghiên cứu các quy luật và cơ chế phát sinh, phát triển và kết quả của bệnh. đây cũng là môn học cầu nối giữa y học cơ bản và y học lâm sàng."
17,C_629522,tìm kiếm tài liệu y khoa,"chủ yếu dạy lý thuyết cơ bản, kiến ​​thức cơ bản và kỹ năng cơ bản về truy xuất tài liệu y khoa, truy xuất cơ sở dữ liệu y học trung quốc, truy xuất pubmed, truy xuất web of science, mô tả và quản lý tài liệu tham khảo và các nội dung khóa học cốt lõi khác."
18,C_654397,chuỗi bài kiểm tra 0710_1,sau đây là phần giới thiệu sản phẩm
19,C_654551,kiểm tra khóa học loạt 4-zm,"khóa học này là khóa học nhập môn về thiết kế giao diện, hướng đến người mới bắt đầu, thông qua việc giới thiệu toàn diện về hiện trạng phát triển, các lĩnh vực ứng dụng và xu hướng trong lĩnh vực thiết kế giao diện, giúp học viên hình thành khung kiến ​​thức đầy đủ hơn, làm phong phú thêm tầm nhìn và học hỏi từ thiết kế và sản xuất web gui và h5. phương pháp: bắt đầu từ hai điểm kiến ​​thức này, chúng tôi dạy học sinh học từng bước thiết kế gui web đơn giản và trải nghiệm quy trình thiết kế hoàn chỉnh. thông qua trải nghiệm học tập thực tế này, học sinh có thể có những hiểu biết sơ bộ về thiết kế giao diện. , để mở đường cho việc học tập chuyên sâu và hoàn thiện bản thân trong tương lai."
20,C_654504,kiểm tra loạt 1-zm,"khóa học này là khóa học nhập môn về thiết kế giao diện, hướng đến người mới bắt đầu, thông qua việc giới thiệu toàn diện về hiện trạng phát triển, các lĩnh vực ứng dụng và xu hướng trong lĩnh vực thiết kế giao diện, giúp học viên hình thành khung kiến ​​thức đầy đủ hơn, làm phong phú thêm tầm nhìn và học hỏi từ thiết kế và sản xuất web gui và h5. phương pháp: bắt đầu từ hai điểm kiến ​​thức này, chúng tôi dạy học sinh học từng bước thiết kế gui web đơn giản và trải nghiệm quy trình thiết kế hoàn chỉnh. thông qua trải nghiệm học tập thực tế này, học sinh có thể có những hiểu biết sơ bộ về thiết kế giao diện. , để mở đường cho việc học tập chuyên sâu và hoàn thiện bản thân trong tương lai."
21,C_654505,kiểm tra khóa học loạt 2-zm,"khóa học này là khóa học nhập môn về thiết kế giao diện, hướng đến người mới bắt đầu, thông qua việc giới thiệu toàn diện về hiện trạng phát triển, các lĩnh vực ứng dụng và xu hướng trong lĩnh vực thiết kế giao diện, giúp học viên hình thành khung kiến ​​thức đầy đủ hơn, làm phong phú thêm tầm nhìn và học hỏi từ thiết kế và sản xuất web gui và h5. phương pháp: bắt đầu từ hai điểm kiến ​​thức này, chúng tôi dạy học sinh học từng bước thiết kế gui web đơn giản và trải nghiệm quy trình thiết kế hoàn chỉnh. thông qua trải nghiệm học tập thực tế này, học sinh có thể có những hiểu biết sơ bộ về thiết kế giao diện. , để mở đường cho việc học tập chuyên sâu và hoàn thiện bản thân trong tương lai."
22,C_655852,chuỗi khóa học hoàn thành không có thời gian ôn tập,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
23,C_655850,chuỗi lớp học - lớp học chưa bắt đầu,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
24,C_654554,chuỗi khóa học - sắp bắt đầu,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
25,C_654506,chuỗi khóa học - khóa học đã kết thúc và đang có thời gian ôn tập,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
26,C_629558,miễn dịch học y tế và sinh học mầm bệnh,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
27,C_629503,kiến thức thông tin—một khóa học bắt buộc cho nghiên cứu học thuật (mùa xuân 2019),"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
28,C_597314,cao đẳng văn học trung quốc - cảm thụ văn học từ bắc tống đến hiện đại,"hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến ai của mọi người cũng tăng lên rất nhiều. khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi, các bài giảng được tổ chức cách tuần."
29,C_670597,zizhi tongjian,la la
30,C_674903,nghệ thuật bất tử: bước vào bậc thầy và kinh điển,"[khóa học chất lượng quốc gia] lấy lịch sử làm kinh độ, so sánh giữa trung quốc và nước ngoài làm vĩ độ và lấy diễn giải văn hóa làm kim chỉ nam, học sinh sẽ được hướng dẫn đánh giá và hiểu được đặc điểm thẩm mỹ cũng như ý nghĩa tinh thần văn hóa của những nghệ sĩ vĩ đại nhất trong sự phát triển của lịch sử nghệ thuật trung quốc và phương tây và những kiệt tác nghệ thuật bất hủ của họ. ."
31,C_674910,tính thẩm mỹ và sáng tạo hoa văn,"[khóa học chất lượng quốc gia] khóa học này cung cấp trải nghiệm trong quá trình cảm nhận vẻ đẹp của hoa văn, trau chuốt vẻ đẹp và thể hiện vẻ đẹp. nghiên cứu các hình mẫu có thể giúp bạn hiểu được lịch sử và cảm nhận được nhịp đập của thời đại. bạn sẽ được mở rộng tư duy sáng tạo nghệ thuật và các phương pháp tạo mẫu phù hợp với mình."
32,C_674912,âm nhạc và sức khỏe,"khóa học này được thiết kế cẩn thận với nội dung về 8 chủ đề bao gồm âm nhạc và sức khỏe, điều trị, bảo tồn sức khỏe và các bài thuốc âm nhạc, phù hợp cho những người yêu thích âm nhạc và quan tâm đến sức khỏe thể chất và tinh thần."
33,C_674914,kế toán quản trị,"môn học này phù hợp với xu hướng phát triển của nền kinh tế mới và chủ yếu giới thiệu những lý luận cơ bản và phương pháp ứng dụng thực tế của kế toán quản trị, nhằm xây dựng hệ thống khung cơ bản về kế toán quản trị cho sinh viên."
34,C_674917,lý thuyết và thực hành đầu tư chứng khoán,"khóa học này chủ yếu giảng dạy những kiến ​​thức, lý thuyết cơ bản về chứng khoán và thị trường chứng khoán; cơ cấu tổ chức của thị trường chứng khoán; các công cụ thị trường vốn cơ bản như cổ phiếu, trái phiếu, quỹ đầu tư chứng khoán và phương pháp đầu tư vào các sản phẩm phái sinh như hợp đồng tương lai tài chính và quyền chọn tài chính. và kinh tế vĩ mô, phát triển ngành và hoạt động kinh doanh của công ty có thể tiến hành phân tích chính xác để đưa ra quyết định đầu tư đúng đắn."
35,C_674920,giới thiệu về logic,"""lý"" là gì? mọi người đều quen thuộc với nó nhưng có vẻ khó để giải thích rõ ràng. khóa học này sẽ cho bạn biết: với tư cách là một chủ đề, logic nghiên cứu những gì, cũng như các ý tưởng, nguyên tắc và phương pháp cơ bản của nó."
36,C_674921,nguyên tắc quản lý,"khóa học này sẽ đưa bạn vào thế giới quản lý: bạn có thể hiểu sâu hơn về tổ chức và công việc của tổ chức, bạn có thể học cách tự quản lý và tạo động lực cho bản thân; bạn cũng có thể khám phá các vấn đề quản lý và thực hiện các biện pháp hiệu quả để giải quyết chúng; tất nhiên, bạn vẫn có thể thu được nhiều kiến ​​thức quản lý có giá trị từ cuốn sách này."
37,C_674923,nâng cao năng lực chuyên môn hành chính,"khóa học “nâng cao năng lực nghiệp vụ hành chính” là khóa học nhằm bồi dưỡng, rèn luyện năng lực nghiệp vụ hành chính cho sinh viên và cán bộ công nhân viên. thông qua học tập, sinh viên có thể nâng cao khả năng cạnh tranh tại nơi làm việc hành chính trong tương lai, xây dựng tinh thần hành chính, nâng cao khí chất hành chính, tăng cường kỹ năng giao tiếp, rèn luyện tài hùng biện hành chính và nâng cao năng lực cạnh tranh nghề nghiệp."
38,C_674926,khám phá những bí ẩn của tiềm thức,"từ góc độ công nghệ can thiệp tâm lý siêu nhận thức, khóa học này giải thích một cách khoa học các vấn đề tâm lý và rối loạn tâm lý thường gặp của sinh viên đại học, cũng như cấu trúc tâm lý của trạng thái cảm hứng thiên tài và tính cách xuất sắc, đồng thời cải thiện khả năng tự nhận thức, giám sát và giám sát các quá trình tâm lý tiềm thức.khả năng phản ánh và điều chỉnh là trí tuệ siêu nhận thức."
39,C_674930,18 năng lực cần có ở nơi làm việc,"khóa học này sẽ cho bạn thấy cái nhìn đa góc độ và toàn diện về nơi làm việc ngày nay. thông qua các bài giảng và cuộc phỏng vấn của ông lin với các chuyên gia tại nơi làm việc, các chuyên gia từ các ngành, vị trí và cấp độ khác nhau có thể cho bạn biết những năng lực mà giới tinh hoa tại nơi làm việc cần phải sở hữu."
40,C_674931,lý thuyết và công nghệ hệ thống nhúng,"hệ thống nhúng là một hệ thống máy tính đặc biệt có khả năng điều chỉnh phần mềm và phần cứng theo nhu cầu của ứng dụng để đáp ứng các yêu cầu tùy chỉnh; nó là sản phẩm của sự kết hợp giữa công nghệ máy tính tiên tiến, công nghệ bán dẫn, công nghệ điện tử và các ứng dụng cụ thể trong các ngành công nghiệp khác nhau. với sự phát triển của công nghệ bán dẫn, định luật moore sẽ tiếp tục có hiệu lực trong vòng mười năm nữa, điều này cho thấy mức độ tích hợp của chip sẽ được cải thiện hơn nữa, trong khi hiệu suất được cải thiện thì diện tích chip và giá thành cũng liên tục giảm. điều này càng mở rộng phạm vi ứng dụng của hệ thống nhúng và hầu như tất cả các sản phẩm đều có thể tích hợp chip, hiện tượng này được gọi là ""máy tính biến mất"", có nghĩa là các hệ thống nhúng sẽ có mặt ở khắp nơi. ."
41,C_674937,văn hóa truyền thống trung quốc và tu luyện đời sống,"khóa học này sẽ dẫn bạn vào thế giới văn hóa truyền thống trung quốc, bắt đầu từ thời tiền tần, đi qua các triều đại nhà ngụy, tấn, nam và bắc, đánh giá cao nền văn hóa tuyệt vời của các triều đại đường, tống, nguyên, minh và thanh, học hỏi tinh thần nho giáo, phật giáo, đạo giáo và bước vào thế giới tâm linh của người xưa."
42,C_674942,xin chào tâm lý học,"lựa chọn những điểm kiến ​​thức cốt lõi, nội dung chính của tâm lý học đại cương được giải thích từ 4 khía cạnh: lịch sử, phương pháp, đề tài nghiên cứu và ứng dụng. nội dung khóa học cô đọng có thể cho phép những người mới bắt đầu học tâm lý học bước vào cung điện tâm lý học và trải nghiệm sự phấn khích của tâm lý học."
43,C_674948,quản trị chiến lược doanh nghiệp,"quản trị chiến lược doanh nghiệp tập trung giới thiệu các lý thuyết về xây dựng, thực hiện và kiểm soát chiến lược doanh nghiệp cũng như ứng dụng thực tế các lý thuyết này vào doanh nghiệp, giúp sinh viên nắm vững các lý thuyết, mô hình và phương pháp phân tích chiến lược, lựa chọn chiến lược và thực hiện chiến lược có liên quan."
44,C_674950,địa lý kinh tế và sự trỗi dậy và sụp đổ của doanh nghiệp,"địa lý kinh tế là môn địa lý nói về cuộc đấu tranh sinh tồn của con người. đây là một nhánh quan trọng của địa lý hiện đại, chủ yếu khám phá mối quan hệ năng động phức tạp giữa hoạt động kinh tế của doanh nghiệp với địa lý và môi trường."
45,C_674959,trí tuệ và sự giác ngộ từ đạo đức kinh,"khóa học này sử dụng các nguyên tắc của ""sách dịch"" để giải thích 101 loại trí tuệ cuộc sống có trong ""đạo đức kinh"" từ góc độ lịch sử và thực tế, lý thuyết và thực tiễn. học xong bài này, đắc đạo thì có nhiều người giúp đỡ, mất đạo thì ít giúp đỡ, chỉ cần đi theo đạo thì sẽ bất khả chiến bại."
46,C_674962,nghệ thuật không gian của “giấc mơ lâu đài đỏ”,"lật tòa nhà đỏ để nhìn thế giới, tìm hiểu về nghệ thuật kiến ​​trúc của văn hóa thị giác trung quốc và nước ngoài cổ đại và hiện đại cũng như không gian thơm của văn hóa khứu giác qua đêm, đồng thời trau dồi tư duy đổi mới trong so sánh xuyên biên giới. nếu không học, bạn sẽ phải chịu tổn thất lớn!"
47,C_674966,luận ngữ bài học cuộc sống của khổng tử,"""luận ngữ của khổng tử"" là một tuyển tập văn xuôi theo phong cách trích dẫn thời xuân thu của trung quốc, chủ yếu ghi lại lời nói và việc làm của khổng tử và các đệ tử của ông, do các đệ tử của khổng tử và các đệ tử của ông biên soạn. nó phản ánh suy nghĩ của khổng tử một cách tương đối tập trung."
48,C_674968,văn hóa bashu,"văn hóa bashu là bông hoa lộng lẫy của nền văn minh trung hoa nở rộ ở phía tây nam. khóa học này sẽ dẫn bạn vào thế giới đầy màu sắc của văn hóa bashu từ các khía cạnh khảo cổ học, lịch sử, văn học, tôn giáo, triết học, nghệ thuật, địa lý, phong tục, nhân vật, v.v."
49,C_674971,đánh giá cao đá quý và ngọc bích,"[khóa học chất lượng quốc gia] đá quý không chỉ là tinh hoa của vẻ đẹp tự nhiên mà còn là biểu tượng của sự giàu có và địa vị. ""đánh giá cao đá quý và ngọc bích"" cho phép bạn hiểu các đặc tính tự nhiên, lịch sử và văn hóa của đá quý, đồng thời đưa bạn vào thế giới tuyệt vời của đá quý."
50,C_676637,phân tích tài chính và ra quyết định,"khóa học này sử dụng ngôn ngữ tài chính để phân tích quá trình tạo ra giá trị của doanh nghiệp, từ đó giúp người học hiểu được các yếu tố khác nhau ảnh hưởng đến việc tạo ra giá trị, hình thành tư duy tài chính và có khả năng áp dụng nó vào các quyết định kinh doanh."
51,C_676642,bắt đầu một công việc kinh doanh mới,"khóa học ""khởi nghiệp kinh doanh mới"" do công viên khoa học và công nghệ thanh hoa và trường kinh tế và quản lý đại học thanh hoa phối hợp tổ chức, là một trong những khóa học mở trực tuyến chất lượng cao đầu tiên trong nước và được trao giải ""tuyệt vời"". bài học"" (khóa học mở video) về giáo dục đổi mới sáng tạo và khởi nghiệp tại các trường cao đẳng, đại học quốc gia năm 2017."
52,C_676641,máy tính đại học,"các khóa học máy tính ở trường đại học sẽ được hướng dẫn bởi tư duy tính toán, dựa trên các nguyên tắc và khái niệm máy tính, được thúc đẩy bởi các công nghệ và phương pháp mới, nhằm mục đích trau dồi khả năng tư duy đổi mới. cùng với người học, họ sẽ hiểu về khoa học máy tính, học công nghệ máy tính và làm chủ tư duy phương pháp."
53,C_676643,tâm lý đổi mới và khởi nghiệp,tinh thần kinh doanh không thể tách rời khỏi sự đổi mới. làm thế nào để luôn sáng tạo? làm thế nào để đối mặt với những thách thức khác nhau? làm thế nào để đối mặt với những khó khăn khi khởi nghiệp với chín thất bại và một chiến thắng? giáo sư peng kaiping của đại học thanh hoa truyền năng lượng tâm lý tích cực vào bạn!
54,C_676648,doanh nhân 101: khách hàng của bạn là ai?,"trong hành trình khởi nghiệp của mình, bạn sẽ thấy rằng nguồn lực quan trọng nhất trong khởi nghiệp chính là khách hàng. hãy nhanh tay tham gia khóa học ""khởi nghiệp 101"" của mit và trở thành thành viên của cộng đồng này!"
55,C_676649,con đường tự tu của nho giáo,"nho giáo giúp người trung quốc phát triển lý trí sớm, định hình phong cách cảm xúc và chữa lành nỗi đau tinh thần của chúng ta. nho giáo là tri thức chân chính, cũng như ba ba thành chín, con đường tu thân là nền tảng."
56,C_676651,tinh thần kinh doanh 102: bạn có thể làm gì cho khách hàng của mình?,bạn có thể làm gì cho khách hàng của mình?
57,C_676653,bước đầu tiên để khởi nghiệp kinh doanh thành công: viết một kế hoạch kinh doanh tốt,viết kế hoạch kinh doanh không chỉ có thể giúp các doanh nhân có được nhiều nguồn lực hơn mà còn làm rõ những ý tưởng phát triển ban đầu của doanh nghiệp và tạo nền tảng vững chắc cho sự phát triển nhanh chóng của doanh nghiệp!
58,C_676654,giáo dục sức khỏe tâm thần cho sinh viên đại học,"khóa học này bám sát tư tưởng “phòng bệnh bằng chữa bệnh” và phổ biến kiến ​​thức về sức khỏe tâm thần cho sinh viên đại học. khóa học này sẽ cho bạn biết: bệnh tâm thần không đáng sợ, nó có thể phòng ngừa và chữa khỏi; chăm sóc sức khỏe tâm thần giúp ích cho sức khỏe và giúp bạn luôn vui vẻ."
59,C_676656,bắt đầu kinh doanh,"các bài giảng của doanh nhân, nhận xét của giáo sư và sự kết hợp giữa các trường hợp và lý thuyết sẽ giúp bạn mở ra cánh cửa khởi nghiệp, cho phép bạn nắm vững và học cách áp dụng các lý thuyết kinh doanh như nhận biết cơ hội và cảm nhận được sức hấp dẫn của tinh thần kinh doanh chấp nhận rủi ro, dám nghĩ dám làm và kiên trì."
60,C_676658,giới thiệu tinh thần của đại hội toàn quốc lần thứ 19 đảng cộng sản trung quốc,"khóa học này là khóa học hỗ trợ cho khóa học mở trực tuyến chất lượng cao cấp quốc gia ""giới thiệu hệ thống lý luận về tư tưởng mao trạch đông và chủ nghĩa xã hội đặc sắc trung quốc"" do ông feng wuzhong phát động năm 2015. nó diễn giải một cách có hệ thống tinh thần của đại hội toàn quốc lần thứ 19 của đảng cộng sản trung quốc thông qua so sánh theo chiều dọc và chiều ngang, sự kết hợp giữa lịch sử và lý luận, đồng thời nhấn mạnh đến vĩ mô và vi mô."
61,C_676659,hành trình thẩm mỹ,"khóa học này là khóa học đầu tiên sử dụng nghệ thuật làm vật dẫn và chủ nghĩa duy vật lịch sử làm kim chỉ nam để bộc lộ một cách toàn diện rằng sự tiến hóa của nền văn minh nhân loại là một quá trình liên tục khuất phục các hình thức xã hội cũ bằng các hình thức xã hội mới. đây là một môn lịch sử cực kỳ quan trọng trong cuốn “the hành trình của thẩm mỹ"" biểu hiện.
        trong cách lý giải và phê phán duy vật lịch sử về sự hình thành, phát triển và tiến hóa của thẩm mỹ ở các hình thái xã hội khác nhau của con người, một bức tranh lịch sử ly kỳ về chân, thiện, mỹ và giả, xấu và ác được mở ra. đây là phần thú vị nhất trong "" khóa học về thẩm mỹ"" ý nghĩa tư tưởng.
       tôi cho rằng quá trình học tập “tiến trình thẩm mỹ” phải là quá trình hình thành tư duy lịch sử mới."
62,C_676660,khóa học tình huống thực hành khởi nghiệp,"khóa học này sẽ đưa bạn vào jd.com và huawei thực sự. ông ma chenggong, cựu chủ tịch điều hành của jd.com và ông tian tao, thành viên ủy ban cố vấn quốc tế huawei, nói về các yếu tố chính trong sự phát triển của các doanh nhân và sự phát triển lâu dài của doanh nghiệp khởi nghiệp!"
63,C_676661,sáng tạo,"đội ngũ các nhà tâm lý học, nhà văn và nghệ sĩ của chúng tôi sẽ hướng dẫn bạn trên một hành trình học tập đầy thử thách nhưng thú vị. khóa học này sẽ làm mới bạn và biến bạn bình thường thành bạn phi thường."
64,C_676662,"cuộc sống, nghệ thuật và thời trang: bảy nghìn năm trang phục trung quốc","[khóa học chất lượng quốc gia] khóa học ""lịch sử trang phục trung quốc"" được chọn là khóa học chất lượng quốc gia, giải thích chi tiết về đặc điểm, bối cảnh phát triển, sự thay đổi thời trang và ý nghĩa văn hóa của nghệ thuật trang phục trung quốc, minh họa cấu trúc và đặc điểm thủ công của trung quốc trang phục và đưa ra các ví dụ về thiết kế thời trang theo phong cách trung quốc. phân tích các phương pháp thiết kế sáng tạo cho thời trang có yếu tố trung quốc."
65,C_676664,tàu sân bay và máy bay hoạt động trên tàu sân bay của các cường quốc,"khóa học này sẽ đưa bạn vào thế giới của các tàu sân bay và máy bay hoạt động trên tàu sân bay của các cường quốc, đồng thời tiết lộ cho bạn bí ẩn về các tàu sân bay hiện đang phục vụ trên khắp thế giới!"
66,C_676665,sự thăng trầm của nhà đường,"lịch sử nhà tùy, nhà đường và năm triều đại là phần quan trọng nhất và có giá trị nhất của kiệt tác lịch sử ""zizhi tongjian"". thông qua sự hướng dẫn của giáo viên, học sinh có thể đi sâu vào văn bản cổ điển, khái quát về sự thăng trầm của nhà đường và tiếp thu trí tuệ của cuộc sống."
67,C_676670,viết tiếng anh nâng cao,"khóa học này có thể giúp học viên nắm vững các phương pháp và kỹ thuật viết các đoạn văn, bài tiểu luận, bố cục đồ họa và tiểu luận thực tế bằng tiếng anh, tìm hiểu các đặc điểm ngôn ngữ và phương pháp viết của bài viết tiếng anh học thuật chuẩn và đích thực, đồng thời giúp học viên nâng cao trình độ viết và viết tiếng anh. kĩ năng giao tiếp."
68,C_676671,cao đẳng văn học trung quốc - cảm thụ văn học từ bắc tống đến hiện đại,"khóa học này áp dụng phương pháp phân loại và kích hoạt kiến ​​thức cũ, xây dựng cấu trúc lịch sử văn học ngắn gọn, thực hiện giảng dạy dựa trên nghiên cứu, nuôi dưỡng sở thích và nâng cao trình độ đọc, đánh giá và viết ngôn ngữ và văn học trung quốc của học sinh. khả năng tự học."
69,C_676678,tâm lý tích cực (phần 1) đức hạnh và đức hạnh,"khóa học này là tổng quan về những điều cơ bản của tâm lý học tích cực, nhằm mục đích cung cấp cho sinh viên sự hiểu biết khoa học và có hệ thống về các lĩnh vực nghiên cứu của tâm lý học tích cực, bao gồm hạnh phúc, đức hạnh, tâm lý và hành vi ủng hộ xã hội, hạnh phúc, giá trị và ý nghĩa của cuộc sống và tâm lý tích cực. ứng dụng và nội dung khác."
70,C_676681,hôn nhân và tình yêu·nơi làm việc·tính cách,"""con đường khó khăn nhất trên thế giới là con đường đến với chính mình."" khóa học này kết hợp tính cách, tình yêu, hôn nhân và nơi làm việc, lấy tính cách làm nền tảng và giải thích các đặc điểm của tình yêu và hôn nhân cũng như nơi làm việc của các loại tính cách khác nhau. khóa học này là khóa học ""người nổi tiếng trên internet"" nổi tiếng của đại học công nghệ vũ hán, được sinh viên vô cùng yêu thích và tìm kiếm vì tính chất học thuật, thực tế và thú vị."
71,C_676682,nghệ thuật tự do vật lý—vật lý trong cuộc sống,bạn sẽ không hiểu được những bí mật của thế giới xung quanh mình trừ khi bạn hiểu được quy luật tự nhiên! khóa học này sẽ đưa bạn khám phá thế giới vật chất đầy màu sắc và cho thấy mọi thứ trong tự nhiên được kết nối một cách khéo léo và hoàn hảo như thế nào.
